alm1907659,Amtmann,6
yb1912571,Anderlik,1
yb19121919,Aselnenbreuer,1
yb19092415,Audics,1
yb19092512,Babanecz,2
yb19121614,Bak,13
yb19121285,Baksis,1
yb19123336,Barbura,1
alm1904186,Barschrott,3
yb1909777,Bartl,10
yb1912495,Baumgartner,32
yb19091179,Beck,83
yb19092247,Belgram,6
yb19121834,Benesovszky,6
yb19091103,Bergler,2
alm1904846,Besenbeck,2
yb1912150,Bezzek,1
yb19091206,Birtalan,1
yb19092319,Blattmann,2
yb19121986,Blitz,14
yb19092288,Bojnitzer,6
yb1909648,Bosnyakovics,3
yb19121298,Bozsó,1
yb19092152,Bredák,5
yb19121278,Brenner,29
yb19091728,Bruckner,20
alm1907712,Bubonyák,1
yb19123238,Buchwald,45
yb19091511,Buna,4
yb19121569,Bunzlau,1
yb19092078,Burucs,4
yb19092250,Bánfus,4
yb1912481,Bászsz,2
yb19123002,Bühler,0
yb19091547,Caragutz,5
yb19122511,Chrobák,3
yb19091923,Csernyánszky,5
yb19092611,Csiba,10
yb19123233,Csicsay,1
yb19123274,Csicsó,3
yb19121837,Csora,2
yb19091697,Curticapean,1
yb19121787,Czeikovits,3
yb1909976,Czeripp,2
yb19091319,Czibulya,5
yb19123300,Czifrik,9
yb19121574,Czihjó,1
yb19092568,Czopf,17
yb1912958,Czukermann,3
yb19091306,Demetrovics,5
yb1909955,Diamant,100
yb19092113,Dienszt,1
yb19123200,Dius,1
alm1907857,Dleszk,2
yb1912483,Dolfi,1
yb19092301,Drázsnyák,1
yb19092096,Dvornák,1
yb1912480,Dvorzsák,4
yb1912166,Dyatel,2
yb1912925,Dzurányi,4
yb1912314,Ebner,6
yb19121621,Eckstein,95
yb1912660,Ehmann,9
yb19091795,Ehrenteil,4
alm190749,Engelmann,20
yb19092488,Englert,3
yb19092190,Farbenblum,1
yb19097,Faszler,2
yb19092559,Feichtmann,7
alm19071134,Feuer,37
yb1912811,Feuerstein,50
yb19122921,Figula,1
yb19092030,Filinescu,1
yb19122713,Fink,87
yb19123114,Finkmann,2
yb1909313,Fischbein,59
alm190778,Fleisch,4
alm1907258,Fleischmann,210
yb19121995,Flesch,42
yb19122443,Flori,3
yb19122868,Francz,38
yb1912472,Frasz,3
alm1907843,Fried,297
alm19071046,Fromhold,1
yb1909180,Füchsl,16
alm1904446,Führinger,9
yb19123118,Gajdos,15
alm19071160,Gansl,102
yb1912538,Gasparik,17
yb19092619,Gasparík,17
yb19121339,Gavalja,1
yb19121539,Gecsó,7
yb19091244,Gelb,85
yb19092493,Ginzer,4
yb1909919,Gluszkievitz,2
yb19091378,Glöckner,6
yb19121279,Goldburg,4
yb19121527,Goldfeld,7
yb19091465,Goldmann,147
yb19121971,Goldstein,1012
yb1909491,Gradwahl,1
yb19092435,Grauer,2
yb1909983,Grebner,4
yb1909965,Gross,117
yb1912698,Grossmann,60
yb1909966,Grossz,1
yb19121323,Grün,282
yb19091228,Grüner,25
yb19091217,Grünfeld,386
yb19091197,Grünhut,223
yb1909377,Grünn,8
yb1909880,Grünvald,36
yb19092377,Gubcsó Bugán,2
yb1912334,Gubicza,3
yb1912809,Gutman,20
yb19091880,Guttmann,284
yb19121985,Gutyina,2
yb19092165,Gyüre,7
yb19121926,Gödölle,5
yb19092310,Habakusz,19
yb19092430,Habinstroh,7
yb19091962,Hackstock,12
alm19041056,Hajduska,13
alm19041088,Hamburger,47
yb19092220,Hamni,0
alm1904278,Handtel,6
yb19092045,Hanigovszky,1
alm1904283,Hartenstein,16
yb19092075,Haskó,8
alm1907877,Hausbrunner,6
yb19091929,Hauser,14
alm1904458,Hecht,71
alm1907586,Hechtl,8
yb19092332,Heider,3
yb19092550,Heine,5
yb19122226,Held,17
alm1904162,Hengel,3
yb19121609,Herczfeld,24
yb19091990,Herunter,6
yb19121733,Herz,52
yb1909205,Herzfeld,42
yb19091049,Hilf,7
yb19092109,Himpchmann,1
yb1912957,Hirschel,31
yb1909506,Hirschl,93
yb1912542,Hoffner,11
yb19092546,Holovka,1
yb19123080,Hoppa,9
yb1909474,Horovicz,21
yb19092282,Horovitz,65
yb19092268,Hoyer,3
yb19121850,Hrabe,1
alm190418,Hrabkovszky,7
alm19071098,Hrenszik,6
yb19092432,Hreska,1
yb1909577,Hrigyecz,1
yb1912147,Hubacsek,5
yb19122818,Huffgart,3
yb19122926,Huminik,8
alm1904172,Hönigsfeld,15
yb19123082,Ilia,1
yb19092223,Irczl,1
yb19122917,Ityun Kurja,0
yb19092355,Jakubik,4
yb19121967,Jamisch,0
yb19123174,Jaransch,5
yb19121987,Joksmann,2
yb19092328,Julcher,2
yb19092402,Jungling,0
alm1907870,Kadenczki,3
alm1904149,Kamenszár,0
yb1912130,Kandler,3
yb19122466,Kantsura,1
yb19121785,Karmazsin,4
yb19091842,Katz,214
yb1909766,Kesztenbaum,64
yb19092242,Kesztner,3
yb19121197,Kilmayer,1
yb19122679,Kirnbauer,12
yb19121286,Kirnig,1
yb19121135,Kirnlg,1
yb19122622,Kirschner,47
yb19092405,Klefaber,1
yb1912668,Kleinberger,25
yb19121872,Kleinlein,1
yb1909174,Kmetykó,11
alm1904739,Knecht,12
yb19092264,Knöbl,4
yb19092176,Kocza,11
yb1912598,Kogler,0
yb19092025,Kohn,6097
yb19092410,Kohut,12
alm1904139,Kolczun,7
yb19091804,Kolega,5
yb19092315,Kolesza,2
yb19092553,Konecsny,8
yb19092126,Konstantin,0
yb19123182,Kovácsevits,4
yb19092286,Kovácsics,8
yb1912730,Krajtsj,3
yb1909459,Kralován,2
alm1904254,Kranz,6
yb1912736,Kratochvila,3
yb19121311,Krausz,963
alm1904346,Kreczinger,0
alm1904668,Krenácz,1
alm1907470,Kricsa,6
yb19123364,Kriger,4
yb19123352,Krizsán,32
yb19091958,Krizsánovics,7
yb19121312,Krkos,1
yb1912391,Kron,13
yb19121452,Kropf,17
yb19121897,Kruze,5
yb19092327,Kukucska,14
alm1904103,Kulfasz,11
yb19092429,Kuncsik,10
yb19122794,Kupsza,1
yb1909691,Kurcz,25
yb1912470,Kurzmann,4
yb19122010,Kuvanek,7
yb19092146,Kátus,1
yb19091887,Kéler,0
yb19123346,Lakinger,1
alm1907953,Langfelder,29
yb19091983,Ledermayer,2
alm1904267,Leichtberg,1
yb19122432,Lesák,6
yb1912312,Lichtenstein,98
alm1907632,Lobstein,12
yb19122367,Lojka,3
yb19122937,Loos,1
alm1907199,Losteiner,8
yb19121670,Lovovits,4
yb19121018,Ludvig,14
yb19121770,Luperszbek,4
alm1904783,Lákner,11
yb19121449,Lövenstein,19
yb19091252,Lövinger,112
yb19092458,Löwy,760
yb1909413,Mailender,1
yb19123180,Mantág,2
yb1912631,Martinek,16
yb1909585,Martinelli,1
yb19122500,Mertinger,3
yb1909250,Mihalovics,6
yb19121822,Mihlrad,8
yb19122453,Mikolai,4
yb19123313,Mikó,1
alm1904723,Milhoffer,2
yb19122486,Mocskos,37
yb19121076,Moskovitz,46
alm1904606,Mráz,65
yb19123094,Mura,1
alm1907956,Mutzbauer,1
yb19122883,Máder,8
yb19121545,Nadeniczek,3
yb19092560,Neamtin,3
yb19123277,Negru,13
yb19122469,Nemecz,26
yb1909134,Neuberger,22
yb1909968,Neufeld,98
yb19123353,Nezezon,1
yb19092485,Nyegró,2
yb1912326,Oesterreicher,40
yb19122358,Opic,6
alm19071142,Pablasek,2
yb19091546,Pacurar,1
yb19122912,Paczes,4
yb19122924,Palásti,1
yb19092490,Paukner,0
yb1912505,Paulus,2
yb1912607,Pfeffer,11
yb19122986,Pikuj,11
yb1912683,Planyitska,1
alm1907612,Podolják,1
yb1909906,Policsek,1
yb19092290,Policzer,49
yb19122337,Pollák,936
yb19091036,Polzberger,1
alm1904132,Ponus,2
alm1904580,Pooplavszky,2
alm1907637,Poppovits,1
alm1904442,Poqlavszky,2
yb19121313,Pospischil,11
yb19123221,Posthammel,7
yb19121554,Potaczek,5
yb19121052,Prandtner,8
alm19041112,Preszburger,14
alm1907186,Proschinger,1
yb1909530,Pukli,1
yb19092311,Radvojevics,1
yb19121923,Rambach,6
yb19121964,Reich,280
alm1907562,Reiser,23
yb19121441,Reismann,52
yb190992,Reissberger,1
alm19071091,Ressel,2
yb19121888,Riszner,2
yb19091404,Ritterbacher,1
yb19092422,Robák,0
yb1909405,Rohaska,1
alm190780,Roos,1
yb19122032,Rosenspitz,7
alm1904922,Rosenstein,63
yb19121515,Rosenzweig,197
yb19122442,Rosovits,1
yb1909257,Rozenberg,20
alm1904334,Rozsaági,4
yb19092088,Ruff,5
alm19071028,Rusznák,13
alm1907465,Ruthauer,2
yb19122461,Ruzsa,20
yb19122856,Röszler,17
yb19092183,Salling,1
alm1904490,Saltzer,5
yb1912357,Salzer,26
yb19092188,Schandel,0
yb19121038,Schenkengei,1
yb1909960,Schestauber,3
yb19091537,Schiessler,3
yb1909669,Schimp,4
yb1909121,Schlegel,2
yb1909124,Schlesinger,1342
yb19091985,Schneider,190
yb19091931,Schnitzer,21
yb19121999,Schulmann,6
yb19092408,Schulteisz,4
yb1909341,Schumandl,1
yb19121163,Schusbek,1
yb19091975,Schuszter,21
yb19091956,Schvarcz,301
yb19092011,Schwach,6
alm1904452,Schwalcz,0
yb19092524,Schwarcz,1357
yb1912659,Schweig,1
yb19121328,Schöbinder,1
yb190918,Schönfeld,175
yb1912566,Schöpkesz,4
yb1909973,Siegmund,1
yb1909662,Singer,505
yb19092094,Sinkler,3
yb1909593,Slotterbek,0
yb19121630,Smilovitz,9
yb19121939,Sommer,28
alm1907517,Sonnenfeld,109
yb19091011,Sonnleitner,2
alm1904598,Spaczek,4
alm1904130,Spanraff,1
yb19123361,Speier,4
yb1909487,Spindler,5
yb19121005,Spitz,224
yb19091229,Spitzer,860
yb1909635,Spitzka,4
yb19122905,Stampf,2
yb19123354,Stanczel,6
yb19092274,Stefanovics,15
yb19092058,Stefka,4
yb19123166,Stefán,37
yb19123265,Steinberger,68
yb19091276,Steiner,941
yb19122944,Sterczel,1
yb19123251,Stir,7
yb19121893,Striskovics,8
yb19092401,Strobak,2
alm1907787,Strudl,4
yb19123348,Strumpf,5
yb19123320,Stöckl,6
alm190436,Szallenback,2
yb19122447,Szanditz,1
yb1909411,Szenftner,5
yb19121976,Szili,5
yb1909256,Szinger,22
yb19122542,Szkruczany,4
yb19092601,Szmrekár,1
yb19092660,Szomleitner,1
yb19123063,Szommer,6
yb19123266,Szproszty,1
yb19092238,Sztakó,2
yb19121579,Sztiszkala,5
yb19092195,Szuszki,2
alm1907543,Tausz,16
yb19122688,Tischler,26
yb19122566,Tkatsik,10
yb19092338,Tkács,28
yb19122345,Tkátsik,10
yb19123232,Tometits,3
yb1909957,Trebitscher,1
yb19123268,Tringer,7
yb19092449,Trsztyenszky,0
yb19122863,Tröger,2
yb1909868,Tuchler,3
alm1904921,Tverdi,7
yb19122801,Ungár,152
yb19092562,Vacha,1
yb19121302,Vanyatka,3
yb1912350,Vara?ek,0
yb19121649,Vaszil,2
yb1909118,Veisz,264
yb19122495,Venninger,0
yb19091242,Verner,20
yb19121868,Viczing,2
yb19121905,Vild,18
yb19092261,Vimalovszki,1
alm1907573,Vince,4
yb19092121,Vlcsek,1
yb1909170,Vurumpek,0
yb1912706,Wachtel,2
yb19121669,Waldner,15
yb19092400,Wechermann,1
yb19091267,Weigand,4
yb19091200,Weinberger,576
yb19121814,Weinczierl,1
yb19092628,Weingarten,17
yb19091102,Weiszfeld,16
yb19091684,Wenczel,6
alm19041113,Wienhoffer,3
alm190795,Winterstein,16
yb1909901,Wirnhart,1
alm19071174,Wurfer,1
yb19092404,Zaletynik,3
alm1907324,Zeleni,1
yb19091927,Zinger,5
yb19122504,Zleszich,1
yb19123127,Zsidó,51
yb19092296,Zuzanszki,1
yb19091195,Zwicker,15
yb1909954,Zwirn,2
yb19092024,Zörnör,2
